Year,Units,display,air pollutants,Value
2005,2005 = 100,a) time series,air pollutants overall,100.0
2006,2005 = 100,a) time series,air pollutants overall,99.63610149545367
2007,2005 = 100,a) time series,air pollutants overall,96.3478886939
2008,2005 = 100,a) time series,air pollutants overall,93.4563899872177
2009,2005 = 100,a) time series,air pollutants overall,87.57518315173635
2010,2005 = 100,a) time series,air pollutants overall,90.7669367829246
2011,2005 = 100,a) time series,air pollutants overall,88.53646964356865
2012,2005 = 100,a) time series,air pollutants overall,85.87781731377585
2013,2005 = 100,a) time series,air pollutants overall,85.20727420618087
2014,2005 = 100,a) time series,air pollutants overall,82.80808474634334
2015,2005 = 100,a) time series,air pollutants overall,82.20361082431455
2016,2005 = 100,a) time series,air pollutants overall,80.22739762472762
2017,2005 = 100,a) time series,air pollutants overall,79.48245997459834
2030,2005 = 100,b) target (max),air pollutants overall,55.0
2005,2005 = 100,a) time series,so2,100.0
2006,2005 = 100,a) time series,so2,100.002985593727
2007,2005 = 100,a) time series,so2,96.54303070215262
2008,2005 = 100,a) time series,so2,95.59825875996228
2009,2005 = 100,a) time series,so2,83.65310753210137
2010,2005 = 100,a) time series,so2,86.72682148710567
2011,2005 = 100,a) time series,so2,83.8207547466012
2012,2005 = 100,a) time series,so2,79.56726499136009
2013,2005 = 100,a) time series,so2,77.50632722964048
2014,2005 = 100,a) time series,so2,73.2587702526899
2015,2005 = 100,a) time series,so2,72.73217957757461
2016,2005 = 100,a) time series,so2,67.71315819995269
2017,2005 = 100,a) time series,so2,66.85853855942449
2005,2005 = 100,a) time series,nox,100.0
2006,2005 = 100,a) time series,nox,99.32981359019362
2007,2005 = 100,a) time series,nox,94.93488226045858
2008,2005 = 100,a) time series,nox,90.19623966389612
2009,2005 = 100,a) time series,nox,84.0083759035015
2010,2005 = 100,a) time series,nox,85.5634447978834
2011,2005 = 100,a) time series,nox,84.4960918785821
2012,2005 = 100,a) time series,nox,82.40012098938763
2013,2005 = 100,a) time series,nox,82.50693585741958
2014,2005 = 100,a) time series,nox,80.23702157578202
2015,2005 = 100,a) time series,nox,78.744204072777
2016,2005 = 100,a) time series,nox,77.11363363356767
2017,2005 = 100,a) time series,nox,74.77837215705487
2005,2005 = 100,a) time series,nh3,100.0
2006,2005 = 100,a) time series,nh3,100.35831151357206
2007,2005 = 100,a) time series,nh3,100.93380242454325
2008,2005 = 100,a) time series,nh3,101.43533180446343
2009,2005 = 100,a) time series,nh3,103.27863453060613
2010,2005 = 100,a) time series,nh3,100.27297470704151
2011,2005 = 100,a) time series,nh3,104.94726881629039
2012,2005 = 100,a) time series,nh3,103.08993823209435
2013,2005 = 100,a) time series,nh3,105.78230581970303
2014,2005 = 100,a) time series,nh3,106.20324744740235
2015,2005 = 100,a) time series,nh3,107.75656111492424
2016,2005 = 100,a) time series,nh3,106.48662933563398
2017,2005 = 100,a) time series,nh3,105.2615033079042
2005,2005 = 100,a) time series,nmvoc,100.0
2006,2005 = 100,a) time series,nmvoc,101.48293315444784
2007,2005 = 100,a) time series,nmvoc,96.4767591115799
2008,2005 = 100,a) time series,nmvoc,92.05785923918029
2009,2005 = 100,a) time series,nmvoc,84.2200315634734
2010,2005 = 100,a) time series,nmvoc,93.19329085922071
2011,2005 = 100,a) time series,nmvoc,85.04831448336186
2012,2005 = 100,a) time series,nmvoc,84.95968749060502
2013,2005 = 100,a) time series,nmvoc,81.69670396740639
2014,2005 = 100,a) time series,nmvoc,79.19837150534997
2015,2005 = 100,a) time series,nmvoc,77.21397792600965
2016,2005 = 100,a) time series,nmvoc,77.30545257681976
2017,2005 = 100,a) time series,nmvoc,79.20173745238637
2005,2005 = 100,a) time series,pm2.5,100.0
2006,2005 = 100,a) time series,pm2.5,97.00646362532781
2007,2005 = 100,a) time series,pm2.5,92.85096897076569
2008,2005 = 100,a) time series,pm2.5,87.99426046858643
2009,2005 = 100,a) time series,pm2.5,82.71576622899937
2010,2005 = 100,a) time series,pm2.5,88.07815206337176
2011,2005 = 100,a) time series,pm2.5,84.3699182930077
2012,2005 = 100,a) time series,pm2.5,79.37207486543213
2013,2005 = 100,a) time series,pm2.5,78.54409815673489
2014,2005 = 100,a) time series,pm2.5,75.14301295049248
2015,2005 = 100,a) time series,pm2.5,74.57113143028721
2016,2005 = 100,a) time series,pm2.5,72.518114377664
2017,2005 = 100,a) time series,pm2.5,71.31214839622173
