Year,Units,Bundesland,GeoCode,Value
1991,1 000 eur,a) germany (total),,27.7
1992,1 000 eur,a) germany (total),,28.1
1993,1 000 eur,a) germany (total),,27.7
1994,1 000 eur,a) germany (total),,28.3
1995,1 000 eur,a) germany (total),,28.6
1996,1 000 eur,a) germany (total),,28.8
1997,1 000 eur,a) germany (total),,29.3
1998,1 000 eur,a) germany (total),,29.9
1999,1 000 eur,a) germany (total),,30.5
2000,1 000 eur,a) germany (total),,31.4
2001,1 000 eur,a) germany (total),,31.9
2002,1 000 eur,a) germany (total),,31.8
2003,1 000 eur,a) germany (total),,31.6
2004,1 000 eur,a) germany (total),,32.0
2005,1 000 eur,a) germany (total),,32.3
2006,1 000 eur,a) germany (total),,33.6
2007,1 000 eur,a) germany (total),,34.6
2008,1 000 eur,a) germany (total),,35.1
2009,1 000 eur,a) germany (total),,33.2
2010,1 000 eur,a) germany (total),,34.7
2011,1 000 eur,a) germany (total),,36.0
2012,1 000 eur,a) germany (total),,36.1
2013,1 000 eur,a) germany (total),,36.2
2014,1 000 eur,a) germany (total),,36.8
2015,1 000 eur,a) germany (total),,37.0
2016,1 000 eur,a) germany (total),,37.6
2017,1 000 eur,a) germany (total),,38.4
2018,1 000 eur,a) germany (total),,38.8
2019,1 000 eur,a) germany (total),,38.9
1991,1 000 eur,bw,080000000000,33.8
1992,1 000 eur,bw,080000000000,33.5
1993,1 000 eur,bw,080000000000,31.9
1994,1 000 eur,bw,080000000000,32.3
1995,1 000 eur,bw,080000000000,32.8
1996,1 000 eur,bw,080000000000,32.9
1997,1 000 eur,bw,080000000000,33.4
1998,1 000 eur,bw,080000000000,34.2
1999,1 000 eur,bw,080000000000,35.0
2000,1 000 eur,bw,080000000000,36.1
2001,1 000 eur,bw,080000000000,37.1
2002,1 000 eur,bw,080000000000,36.6
2003,1 000 eur,bw,080000000000,36.4
2004,1 000 eur,bw,080000000000,36.4
2005,1 000 eur,bw,080000000000,36.6
2006,1 000 eur,bw,080000000000,38.9
2007,1 000 eur,bw,080000000000,40.4
2008,1 000 eur,bw,080000000000,40.6
2009,1 000 eur,bw,080000000000,36.6
2010,1 000 eur,bw,080000000000,39.5
2011,1 000 eur,bw,080000000000,41.5
2012,1 000 eur,bw,080000000000,41.6
2013,1 000 eur,bw,080000000000,41.7
